,postal_code,name,lat,lon
9982,27370,Le Thuit de l'Oison,49.2579,0.9386
9983,27170,Tilleul-Dame-Agnès,49.0058,0.8897
9984,27110,Le Tilleul-Lambert,49.0794,0.9317
9985,27570,Tillières-sur-Avre,48.7585,1.0284
9986,27510,Tilly,49.1435,1.5259
9987,27500,Tocqueville,49.4089,0.6153
9988,27210,Le Torpt,49.3328,0.3846
9989,27440,Touffreville,49.3455,1.4378
9990,27180,Tournedos-Bois-Hubert,49.0719,0.9873
9991,27930,Tourneville,49.0952,1.1069
9992,27370,Tourville-la-Campagne,49.2249,0.8979
9993,27500,Tourville-sur-Pont-Audemer,49.3227,0.5166
9994,27500,Toutainville,49.3556,0.4585
9995,27110,Le Tremblay-Omonville,49.1195,0.9162
9996,27930,La Trinité,48.9883,1.2382
9997,27270,La Trinité-de-Réville,48.967,0.5122
9998,27310,La Trinité-de-Thouberville,49.364,0.8793
9999,27500,Triqueville,49.3324,0.4415
10000,27110,Le Troncq,49.1942,0.9139
10001,27480,Le Tronquay,49.4365,1.4567
10002,27680,Trouville-la-Haule,49.4207,0.5793
10003,27400,La Vacherie,49.1224,1.1349
10004,27300,Valailles,49.1175,0.6199
10005,27120,Le Val-David,48.9802,1.2631
10006,27350,Valletot,49.3658,0.6134
10007,27380,Vandrimare,49.3849,1.3497
10008,27210,Vannecrocq,49.2993,0.4289
10009,27910,Vascœuil,49.4485,1.3793
10010,27430,Vatteville,49.2801,1.29
10011,27120,Vaux-sur-Eure,49.0357,1.335
10012,27110,Venon,49.1738,1.0514
10013,27180,Les Ventes,48.954,1.0665
10014,27130,Verneuil d'Avre et d'Iton,48.7649,0.8893
10015,27160,Verneuil d'Avre et d'Iton,48.7649,0.8893
10016,27390,Verneusses,48.9078,0.4242
10017,27200,Vernon,49.0921,1.4827
10018,27870,Vesly,49.2437,1.6415
10019,27700,Vézillon,49.2221,1.3988
10020,27930,Le Vieil-Évreux,49.001,1.2133
10021,27330,La Vieille-Lyre,48.9333,0.7503
10022,27680,Vieux-Port,49.426,0.6069
10023,27120,Villegats,48.999,1.4639
10024,27420,Villers-en-Vexin,49.2504,1.5906
10025,27940,Villers-sur-le-Roule,49.1909,1.3182
10026,27110,Villettes,49.1557,1.0464
10027,27240,Sylvains-Lès-Moulins,48.9057,1.0935
10028,27950,Villez-sous-Bailleul,49.1055,1.3692
10029,27110,Villez-sur-le-Neubourg,49.149,0.8604
10030,27640,Villiers-en-Désœuvre,48.96,1.4807
10031,27400,Vironvay,49.2047,1.2201
10032,27110,Vitot,49.1688,0.8862
10033,27520,Voiscreville,49.2807,0.7677
10034,27370,Vraiville,49.2185,1.0375
10035,27100,Val-de-Reuil,49.264,1.2142
10036,28410,Abondant,48.7983,1.4236
10037,28500,Allainville,48.7211,1.2907
10038,28150,Allonnes,48.3312,1.6524
10039,28800,Alluyes,48.2251,1.3666
10040,28300,Amilly,48.4424,1.4079
10041,28260,Anet,48.851,1.4432
10042,28170,Ardelles,48.5445,1.1768
10043,28700,Ardelu,48.3544,1.9135
10044,28480,Argenvilliers,48.2753,0.9724
10045,28220,Commune nouvelle d'Arrou,48.092,1.1128
10046,28290,Commune nouvelle d'Arrou,48.092,1.1128
10047,28700,Aunay-sous-Auneau,48.4442,1.818
10048,28500,Aunay-sous-Crécy,48.6576,1.3054
10049,28700,Auneau-Bleury-Saint-Symphorien,48.5,1.7642
10050,28330,Les Autels-Villevillon,48.1778,0.9924
